child,label,id,definition,exact_synonym,related_synonym,alternative_id,db_xref,in_subset,obo_namespace,skos_exact_match,skos_narrow_match,comment,creation_date
http://purl.obolibrary.org/obo/DOID_0040035,sulfasalazine allergy,DOID:0040035,A drug allergy that has_allergic_trigger sulfasalazine.,,,,SNOMEDCT_US_2025_09_01:293663001 | UMLS_CUI:C0570587,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040036,tubocurarine allergy,DOID:0040036,A drug allergy that has_allergic_trigger tubocurarine.,DTC allergy,,,SNOMEDCT_US_2025_09_01:294231006 | UMLS_CUI:C0571147,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040037,aztreonam allergy,DOID:0040037,A beta-lactam allergy that has_allergic_trigger aztreonam.,Azactam allergy | Primbactam allergy,,,SNOMEDCT_US_2025_09_01:294565006 | UMLS_CUI:C0571476,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040038,meropenem allergy,DOID:0040038,"An allergic asthma that has_allergic_trigger meropenem, a beta-lactam antibiotic.",Merrem allergy,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040040,hexamethylene diisocyanate allergic asthma,DOID:0040040,An isocyanates allergic asthma that has_allergic_trigger hexamethylene diisocyanate.,allergic asthma to HDI | allergic asthma to HMDI,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040041,isocyanates allergic asthma,DOID:0040041,An allergic asthma that has_allergic_trigger isocyanates.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040042,"diphenylmethane-4,4'-diisocyanate allergic asthma",DOID:0040042,"An isocyanates allergic asthma that has_allergic_trigger diphenylmethane-4,4-diisocyanate.",allergic asthma to MDI,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040043,toluene meta-diisocyanate allergic asthma,DOID:0040043,An isocyanates allergic asthma that has_allergic_trigger toluene meta-diisocyanate.,allergic asthma to TDI,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040044,methyl isocyanate allergic asthma,DOID:0040044,An isocyanates allergic asthma that has_allergic_trigger methyl isocyanate.,allergic asthma to MIC,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040045,nickel allergic asthma,DOID:0040045,An allergic asthma that has_allergic_trigger nickel atom.,allergic asthma to Ni,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040046,nickel allergic contact dermatitis,DOID:0040046,An allergic contact dermatitis that has_allergic_trigger nickel atom.,allergic contact dermatitis to Ni,,,ICD10CM:L23.0,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040047,trimellitic anhydride allergic asthma,DOID:0040047,An allergic asthma that has_allergic_trigger trimellitic anhydride.,allergic asthma to TMA,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040048,phthalic anhydride allergic asthma,DOID:0040048,An allergic asthma that has_allergic_trigger phthalic anhydride.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040049,maleic anhydride allergic asthma,DOID:0040049,An allergic asthma that has_allergic_trigger maleic anhydride.,allergic asthma to MA,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040050,tetrachlorophthalic anhydride allergic asthma,DOID:0040050,An allergic asthma that has_allergic_trigger tetrachlorophthalic anhydride.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040051,hexahydrophthalic anhydride allergic asthma,DOID:0040051,An allergic asthma that has_allergic_trigger hexahydrophthalic anhydride.,allergic asthma to HHPA,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040052,"diphenylmethane-4,4'-diisocyanate allergic contact dermatitis",DOID:0040052,"An allergic contact dermatitis that has_allergic_trigger diphenylmethane-4,4-diisocyanate.",allergic contact dermatitis to MDI,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040053,cobalt allergic contact dermatitis,DOID:0040053,An allergic contact dermatitis that has_allergic_trigger cobalt atom.,allergic contact dermatitis to Co,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040054,cobalt allergic asthma,DOID:0040054,An allergic asthma that has_allergic_trigger cobalt atom.,Co allergic asthma,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040055,palladium allergic contact dermatitis,DOID:0040055,An allergic contact dermatitis that has_allergic_trigger palladium.,allergic contact dermatitis to Pd,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040056,chromium allergic contact dermatitis,DOID:0040056,An allergic contact dermatitis that has_allergic_trigger chromium atom.,,,,ICD10CM:L23.0,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040057,benzoic acid allergic contact dermatitis,DOID:0040057,An allergic contact dermatitis that has_allergic_trigger benzoic acid.,allergic contact dermatitis to benzoate,,,SNOMEDCT_US_2025_09_01:294186000 | UMLS_CUI:C0571102,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040058,"1,4-phenylenediamine allergic contact dermatitis",DOID:0040058,"An allergic contact dermatitis that has_allergic_trigger 1,4-phenylenediamine.",allergic contact dermatitis to PPD | allergic contact dermatitis to p-phenylenediamine,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040059,potassium dichromate allergic contact dermatitis,DOID:0040059,An allergic contact dermatitis that has_allergic_trigger potassium dichromate.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040060,ketoprofen photoallergic dermatitis,DOID:0040060,A photoallergic dermatitis that has_allergic_trigger ketoprofen.,photoallergic dermatitis to Orudis,,,SNOMEDCT_US_2025_09_01:293621000 | UMLS_CUI:C0570547,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040061,remazole black respiratory allergy,DOID:0040061,A respiratory allergy that has_allergic_trigger remazole black-GR.,respiratory allergy to Reactive Black 5,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040062,chloramine T respiratory allergy,DOID:0040062,A respiratory allergy that has_allergic_trigger chloramine T.,respiratory allergy to Chloraseptin | respiratory allergy to Chlorazol | respiratory allergy to Trichlorol,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040063,4-vinylcyclohexene dioxide respiratory allergy,DOID:0040063,A respiratory allergy that has_allergic_trigger 4-vinylcyclohexene dioxide.,respiratory allergy to vinyl cyclohexene diepoxide,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040064,carvone allergic contact dermatitis,DOID:0040064,An allergic contact dermatitis that has_allergic_trigger (-)-carvone.,allergic contact dermatitis to levo-carvone,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040065,quinidine allergy,DOID:0040065,A drug allergy that has_allergic_trigger quinidine.,Kinidin allergy,,,SNOMEDCT_US_2025_09_01:294978001 | UMLS_CUI:C0571881,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040066,melphalan allergy,DOID:0040066,A drug allergy that has_allergic_trigger melphalan.,Alkeran allergy,,,SNOMEDCT_US_2025_09_01:293751001 | UMLS_CUI:C0570673,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040067,neomycin sulfate allergic contact dermatitis,DOID:0040067,An allergic contact dermatitis that has_allergic_trigger neomycin sulfate.,allergic contact dermatitis to neomycin sulphate,,,SNOMEDCT_US_2025_09_01:409640001 | UMLS_CUI:C1443961,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040068,4-tert-butylphenol allergic contact dermatitis,DOID:0040068,An allergic contact dermatitis that has_allergic_trigger 4-tert-butylphenol.,allergic contact dermatitis to PTBP | allergic contact dermatitis to butylphen,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040069,"1-chloro-2,4-dinitrobenzene allergic contact dermatitis",DOID:0040069,"An allergic contact dermatitis that has_allergic_trigger 1-chloro-2,4-dinitrobenzene.",allergic contact dermatitis to DNCB | allergic contact dermatitis to dinitrochlorobenzene,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040070,co-trimoxazole allergy,DOID:0040070,A drug allergy that has_allergic_trigger co-trimoxazole.,Bactrim allergy | TMP/SMX allergy | cotrimoxazol allergy | trimethoprim/sulfamethoxazole allergy,,,SNOMEDCT_US_2025_09_01:294594004 | UMLS_CUI:C0571504,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040071,sodium aurothiomalate allergy,DOID:0040071,A drug allergy that has_allergic_trigger sodium aurothiomalate.,gold sodium thiomalate allergy,,,SNOMEDCT_US_2025_09_01:294239008 | UMLS_CUI:C0571155,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040072,parthenolide allergic contact dermatitis,DOID:0040072,An allergic contact dermatitis that has_allergic_trigger parthenolide.,allergic contact dermatitis to feverfew,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040073,disodium cromoglycate allergy,DOID:0040073,A drug allergy that has_allergic_trigger disodium cromoglycate.,DSCG allergy,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040074,formaldehyde allergic contact dermatitis,DOID:0040074,An allergic contact dermatitis that has_allergic_trigger formaldehyde.,allergic contact dermatitis to formalin,,,SNOMEDCT_US_2025_09_01:294426006 | UMLS_CUI:C0571339,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040075,benzo[d]isothiazol-3-one allergic contact dermatitis,DOID:0040075,An allergic contact dermatitis that has_allergic_trigger benzo[d]isothiazol-3-one.,allergic contact dermatitis to BIT | allergic contact dermatitis to benzisothiazolone,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040076,phthalyl group allergy,DOID:0040076,A drug allergy that has_allergic_trigger phthalyl group.,phthalyl allergy,,,SNOMEDCT_US_2025_09_01:294571000 | UMLS_CUI:C0571482,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040077,alcuronium bromide allergy,DOID:0040077,A drug allergy that has_allergic_trigger alcuronium bromide.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040078,gallamine allergy,DOID:0040078,A drug allergy that has_allergic_trigger gallamine.,,,,SNOMEDCT_US_2025_09_01:294229002 | UMLS_CUI:C0571145,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040079,"2,4-dinitrophenyl allergic contact dermatitis",DOID:0040079,"An allergic contact dermatitis that has_allergic_trigger 2,4-dinitrophenyl group.",allergic contact dermatitis to DNP,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040080,patent blue V allergy,DOID:0040080,A drug allergy that has_allergic_trigger patent blue V.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040081,acid anhydride respiratory allergy,DOID:0040081,A respiratory allergy that has_allergic_trigger acid anhydride.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040082,oxirane allergy,DOID:0040082,A drug allergy that has_allergic_trigger oxirane.,ETO allergy | ethylene oxide allergy,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040087,autoimmune peripheral neuropathy,DOID:0040087,An autoimmune disease of peripheral nervous system that results in peripheral neuropathy.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040088,autoimmune uveitis,DOID:0040088,"An autoimmune disease of eyes, ear, nose and throat that is located_in the uvea.",,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040089,autoimmune optic neuritis,DOID:0040089,An autoimmune disease of peripheral nervous system that is located_in the neuron projection bundle connecting eye with brain.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040090,autoimmune gastritis,DOID:0040090,An autoimmune disease of gastrointestinal tract that is located_in the stomach.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040091,autoimmune pancreatitis,DOID:0040091,An autoimmune disease of endocrine system that is located_in the pancreas.,,,,MESH:D000081012 | SNOMEDCT_US_2025_09_01:448542008 | UMLS_CUI:C2609129,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,MESH:D000081012,,,
http://purl.obolibrary.org/obo/DOID_0040092,juvenile ankylosing spondylitis,DOID:0040092,An ankylosing spondylitis with onset during childhood.,,,,ICD10CM:M08.1 | NCI:C197919 | SNOMEDCT_US_2025_09_01:201802002 | UMLS_CUI:C0409675,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040093,drug-induced lupus erythematosus,DOID:0040093,A lupus erythematosus caused by chronic use of certain drugs.,DIL | DILE,,,ICD10CM:M32.0 | MESH:C000730515 | NCI:C114354 | ORDO:231111 | SNOMEDCT_US_2025_09_01:80258006 | UMLS_CUI:C0263591,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim | http://purl.obolibrary.org/obo/doid#DO_rare_slim | http://purl.obolibrary.org/obo/doid#NCIthesaurus,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040094,autoimmune glomerulonephritis,DOID:0040094,An autoimmune disease of urogenital tract that is located_in the renal glomerulus.,,,DOID:0050146,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040095,autoimmune cardiomyopathy,DOID:0040095,An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040096,autoimmune atherosclerosis,DOID:0040096,An autoimmune disease of cardiovascular system that is characterized by a build up of plaque in the arteries.,,,,,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040097,autoimmune vasculitis,DOID:0040097,An autoimmune disease of cardiovascular system that is characterized by inflammation of the blood vessels.,,,,SNOMEDCT_US_2025_09_01:427213005 | UMLS_CUI:C1328843,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
http://purl.obolibrary.org/obo/DOID_0040098,pemphigus gestationis,DOID:0040098,A pemphigus that is characterized by blistered skin as a result of self-reactive T and B cells that target BP180.,,,,ICD10CM:O26.4,http://purl.obolibrary.org/obo/doid#DO_IEDB_slim,disease_ontology,,,,
