Category,Evidence,Quality,autoimmune,Parent,Disease,Syn,SNOMED,ConceptID,Profile,pubmed,Citation,prevtype,Prevalence_Description,prevnotes,min_rate,max_rate, denom , us_cases_min ,us_cases_max,us_cases_mean,rateper100k,Antibodies,Rose_Mackay Citation,Pubmed Evidence (incomplete)
Nervous System,Antibody,Moderate,Autoimmune,Acute disseminated encephalomyelitis,ADEM,A,83942000,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Antibody,Moderate,Autoimmune,Acute disseminated encephalomyelitis,Nonvasculitic autoimmune inflammatory meningoencephalitis,S,83942000,374021,,,,,,,,,,0,0,0, -   ,,https://pubmed.ncbi.nlm.nih.gov/15139593/,
Vascular system,Antibody,Strong,Autoimmune,Acute febrile mucocutaneous lymph node syndrome,Acute febrile mucocutaneous lymph node syndrome,N,75053002,314381,"Acute febrile mucocutaneous lymph node syndrome, also known as Kawasaki's Disease, is a rare disorder with sudden onset resulting in fever and inflammation of the blood vessels (vasculitis).  This inflammation restricts blood flow and damages vital organs and tissues, leading to heart disease.  Patients are predominantly children.  

The cause of Kawasaki's Disease is uncertain but is believed to be autoimmune.  Patients who do not suffer damage to the coronary arteries (ex. aneurysms) are expected to heal completely.  Patients who do suffer aneurysms are at greater risk of complications and heart failure, but many can be expected to recover within 2 years.  Relapse is uncommon.  Short-term and long-term treatments and procedures that protect the heart and coronary arteries are available.
",https://pubmed.ncbi.nlm.nih.gov/22589296/,Wu 2012,P,"34.9 cases per 100,000","Modesti & Plewa 2019 report US Cases: 30,000 - 65,000 ",34.9,," 100,000 "," 116,322 "," 116,322 "," 116,322 ", 34.9 ,,"Some investigators have reported evidence that patients with Kawasaki's disease have circulating autoantibodies that react with activated endothelial cells (Leung et al., 1986a,b, 1989; Grunebaum et al., 2002; Kaneko et al., 2004). Kaneko et al. (2004) identified a number of candidate target antigens using a cDNA expression library derived from tumor necrosis factor (TNF)-α-stimulated human umbilical vein endothelial cells. Tropomyosin was the most likely autoantigen recognized by anti-endothelial cell autoantibodies. Mor et al. (2002) have identified autoantibodies to tropomyosin in another form of vasculitis, Behçet's disease. Cunningham et al. (1999) have reported IgM autoantibodies to cardiac myosin in Kawasaki's disease. These autoantibodies differ from the antimyosin antibodies of patients with acute rheumatic fever.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Vascular system,Antibody,Strong,Autoimmune,Acute febrile mucocutaneous lymph node syndrome,Kawasaki syndrome,S,75053002,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Acute febrile mucocutaneous lymph node syndrome,Kawasaki's disease,S,75053002,314381,,https://pubmed.ncbi.nlm.nih.gov/22589296/,Wu 2012,P,"34.9 cases per 100,000","Modesti & Plewa 2019 report US Cases: 30,000 - 65,000 ",34.9,," 100,000 "," 116,322 "," 116,322 "," 116,322 ", 34.9 ,,"Some investigators have reported evidence that patients with Kawasaki's disease have circulating autoantibodies that react with activated endothelial cells (Leung et al., 1986a,b, 1989; Grunebaum et al., 2002; Kaneko et al., 2004). Kaneko et al. (2004) identified a number of candidate target antigens using a cDNA expression library derived from tumor necrosis factor (TNF)-α-stimulated human umbilical vein endothelial cells. Tropomyosin was the most likely autoantigen recognized by anti-endothelial cell autoantibodies. Mor et al. (2002) have identified autoantibodies to tropomyosin in another form of vasculitis, Behçet's disease. Cunningham et al. (1999) have reported IgM autoantibodies to cardiac myosin in Kawasaki's disease. These autoantibodies differ from the antimyosin antibodies of patients with acute rheumatic fever.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Vascular system,Antibody,Strong,Autoimmune,Acute febrile mucocutaneous lymph node syndrome,Lymph node syndrome,S,75053002,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Acute febrile mucocutaneous lymph node syndrome,Mucocutaneous lymph node syndrome,S,75053002,,,,,,,,,,,0,0,0, -   ,,,
Skin,Unconfirmed,Unconfirmed,Unconfirmed,Acute lichenoid pityriasis,Acute lichenoid pityriasis,N,86487001,4314705,"Pityriasis lichenoides et varioliformis acuta (PLEVA) is the acute form of an inflammatory skin condition called pityriasis lichenoides. People with PLEVA may develop a few to more than one hundred scaling papules which may become filled with blood and/or pus or erode into crusted red-brown spots. Papules may itch or burn, and some people may experience fever or joint pain. Although PLEVA may occur at any age (including infancy), it most commonly affects children and young adults. ",https://www.medscape.com/answers/1099078-102824/what-is-the-prevalence-of-pityriasis-lichenoides-in-the-us,Medscape 2020,P,"17.0 cases per 44,000"," Based on percentage of patients with lupus, 44,000 patients seen over 10 years in 3 catchment areas in Great Britain, 17 cases in that population ",17,," 44,000 "," 101,730 "," 101,730 "," 101,730 ", 30.5 ,,The probable cause of febrile ulceronecrotic Mucha Habermann is an inflammatory reaction triggered by infectious agents - Wolf 2011 - Autoinflammatory,
Skin,Unconfirmed,Unconfirmed,Unconfirmed,Acute lichenoid pityriasis,PLEVA,A,86487001,,,,,,,,,,,0,0,0, -   ,,,
Skin,Unconfirmed,Unconfirmed,Unconfirmed,Acute lichenoid pityriasis,Acuta guttale parapsoriasis,S,86487001,,,,,,,,,,,0,0,0, -   ,,,
Skin,Unconfirmed,Unconfirmed,Unconfirmed,Acute lichenoid pityriasis,Mucha-Habermann disease,S,86487001,4314705,,https://www.medscape.com/answers/1099078-102824/what-is-the-prevalence-of-pityriasis-lichenoides-in-the-us,Medscape 2020,P,"17.0 cases per 44,000"," Based on percentage of patients with lupus, 44,000 patients seen over 10 years in 3 catchment areas in Great Britain, 17 cases in that population ",17,," 44,000 "," 101,730 "," 101,730 "," 101,730 ", 30.5 ,,The probable cause of febrile ulceronecrotic Mucha Habermann is an inflammatory reaction triggered by infectious agents - Wolf 2011 - Autoinflammatory,
Skin,Unconfirmed,Unconfirmed,Unconfirmed,Acute lichenoid pityriasis,Pityriasis lichenoides et varioliformis acuta,S,86487001,4314705,,https://www.medscape.com/answers/1099078-102824/what-is-the-prevalence-of-pityriasis-lichenoides-in-the-us,Medscape 2020,P,"17.0 cases per 44,000"," Based on percentage of patients with lupus, 44,000 patients seen over 10 years in 3 catchment areas in Great Britain, 17 cases in that population ",17,," 44,000 "," 101,730 "," 101,730 "," 101,730 ", 30.5 ,,The probable cause of febrile ulceronecrotic Mucha Habermann is an inflammatory reaction triggered by infectious agents - Wolf 2011 - Autoinflammatory,
Glands,Antibody,Strong,Autoimmune,Addison's disease,Addison's disease,N,363732003,443394,"Addison's disease is a hormonal disorder that occurs when the adrenal glands do not produce enough of certain hormones. The two hormones that tend to be affected the most are cortisol and aldosterone. Symptoms may occur slowly over several months, and most people do not realize these are symptoms of Addison’s and ignore them. Early symptoms include fatigue, dizziness or fainting due to low blood pressure, sweating due to low blood sugar, upset stomach, abdominal pain, and muscle cramps or weakness. If symptoms become worse quickly, then it can develop into an adrenal crisis, resulting in death if not treated quickly enough.",https://pubmed.ncbi.nlm.nih.gov/26437215/,Olaffson 2016,P,"4.17 to 22.1 cases per 100,000","Cases in the US: 16,000 - 80,000",4.17,22.1," 100,000 "," 13,899 "," 73,659 "," 43,779 ", 13.1 ,adrenal cortical antibodies—ACA,"Anderson et al. (1957), using a complement fixation test on a homogenate of adrenal cortex tissue, demonstrated that 2/8 (25%) of patients with idiopathic AD had antibodies (adrenal cortical antibodies—ACA). From The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Glands,Antibody,Strong,Autoimmune,Addison's disease,Autoimmune adrenalitis,S,363732003,,,,,,,,,,,0,0,0, -   ,,,
Glands,Antibody,Strong,Autoimmune,Addison's disease,Adrenal cortical hypofunction,V,386584007,435508,,https://pubmed.ncbi.nlm.nih.gov/26437215/,Olaffson 2016,P,"4.17 to 22.1 cases per 100,000","Cases in the US: 16,000 - 80,000",4.17,22.1," 100,000 "," 13,899 "," 73,659 "," 43,779 ", 13.1 ,adrenal cortical antibodies—ACA,"Anderson et al. (1957), using a complement fixation test on a homogenate of adrenal cortex tissue, demonstrated that 2/8 (25%) of patients with idiopathic AD had antibodies (adrenal cortical antibodies—ACA). From The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Glands,Antibody,Strong,Autoimmune,Addison's disease,Adrenal Insufficiency,S,386584007,,,,,,,,,,,0,0,0, -   ,,,
Glands,Antibody,Strong,Autoimmune,Addison's disease,Primary adrenal insufficiency,S,386584007,,,https://pubmed.ncbi.nlm.nih.gov/26437215/,Olaffson 2016,P,"4.17 to 22.1 cases per 100,000","Cases in the US: 16,000 - 80,000",4.17,22.1," 100,000 "," 13,899 "," 73,659 "," 43,779 ", 13.1 ,adrenal cortical antibodies—ACA,"Anderson et al. (1957), using a complement fixation test on a homogenate of adrenal cortex tissue, demonstrated that 2/8 (25%) of patients with idiopathic AD had antibodies (adrenal cortical antibodies—ACA). From The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Systemic,Antibody,Strong,Autoimmune,Adult onset Still's disease,Adult onset Still's disease,N,239920006,4344166,"Adult onset Still's disease (AoSD) is a rare form of inflammatory arthritis that affects the entire body, impacting joints and organs. Typically affecting individuals over the age of 16, patients often endure bouts of elevated fever, joint discomfort, and skin rash. Blood tests commonly indicate elevated white blood cell counts. Despite extensive research, the exact cause of AoSD remains elusive, with uncertainty over whether it stems from autoimmune or autoinflammatory origins. The disease's progression varies widely among patients; while some experience sudden onset followed by swift and complete recovery, others contend with chronic manifestations or symptom flare-ups alternating with periods of remission. AoSD bears a resemblance to systemic juvenile rheumatoid arthritis, differing primarily in the age of onset. Although a definitive cure remains elusive, treatment options exist to manage inflammation and mitigate potential organ damage. There are three main patterns of the clinical course of AoSD namely monophasic, intermittent, and chronic. There is an approximately equal distribution in each category however some studies have shown a chronic articular pattern to be more common.",https://link.springer.com/chapter/10.1007/978-3-030-19055-2_6,Mitrovic 2019,P,"1.0 to 10.0 cases per 1,000,000",~ 480 Cases in the US per YearSource: PubMedNotes1. Still's Disease is very rare,1,10," 1,000,000 ", 333 ," 3,333 "," 1,833 ", 0.6 ,antibodies to cyclic citrullinated peptides,"Rheumatoid Factor-Positive Polyarthritis This rare (5% of patients with JIA) subgroup is the childhood equivalent of adult rheumatoid factor (RF)-positive rheumatoid arthritis; in fact, it is the only form of JIA with positive antibodies to cyclic citrullinated peptides.
The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Systemic,Antibody,Strong,Autoimmune,Adult onset Still's disease,Adult Still's disease,S,239920006,,,,,,,,,,,0,0,0, -   ,,,
Nervous System,Unconfirmed,Unconfirmed,Unconfirmed,Age related macular degeneration,Age related macular degeneration,Z,267718000,374028,"Age-related macular degeneration (AMD) leads to the loss of central vision, which impairs activities such as reading, driving, and recognizing faces. Many factors may be involved in the development of AMD, including genetic predisposition and environmental factors like smoking and diet, and some studies have found a link with immune system components such as complement proteins. These proteins, part of the immune system's response to pathogens, can mistakenly target retinal cells, leading to inflammation and damage. Furthermore, individuals with autoimmune diseases like lupus or rheumatoid arthritis may have an increased risk of developing AMD, as their immune systems are already prone to attacking self-tissues. Understanding this autoimmune connection opens new avenues for potential treatments, such as immunomodulatory therapies, which aim to regulate the immune response and protect retinal health.

However, based on the research available at this time, there is no evidence that AMD is an autoimmune disease. ",https://pubmed.ncbi.nlm.nih.gov/36326752/,Rein 2022,P,Most cases of AMD are not autoimmune," Prevalence among adults over 40, January 2014 data. This figure encompasses specific forms of autoimmune-mediated encephalitis such as ADEM. ",10.3,15.3, 100 ," 16,759,857 "," 24,895,710 "," 20,827,784 "," 6,249.0 ",,,
Skin,Antibody,Strong,Autoimmune,Alopecia areata,Alopecia Totalis,T,19754005,4056343,,,,,,,,,,0,0,0, -   ,,,
Skin,Antibody,Strong,Autoimmune,Alopecia areata,Alopecia areata,N,68225006,141933,"Alopecia areata is a type of hair loss that occurs when your immune system mistakenly attacks hair follicles, which is where hair growth begins. The damage to the follicle is usually not permanent. Experts do not know why the immune system attacks the follicles.",https://pubmed.ncbi.nlm.nih.gov/32280257/,Benigno 2020,P,.21 to .21 cases per 100,"0.15%500,000 persons in the US",0.21,0.21, 100 ," 699,930 "," 699,930 "," 699,930 ", 210.0 ,antibodies to tyrosine hydroxylases ,"There are multiple observations supporting the concept that AA is an autoimmune disease: 1. AA HFs are surrounded by an immune infiltrate of activated T helper(h) cells, cytotoxic T cells and natural killer (NK) cells, and a Th1-type cytokine profile (Petukhova et al., 2011). ...

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Skin,Antibody,Strong,Autoimmune,Alopecia areata,Alopecia Universalis,T,86166000,4312756,,,,,,,,,,0,0,0, -   ,,,
Systemic,Antibody,Strong,Autoimmune,Angiofollicular lymph node hyperplasia,Angiofollicular lymph node hyperplasia,N,207036003,4118225,"Castleman disease (CD) is a group of rare disorders that involve enlarged lymph nodes due to an unexplained activation of the immune system that leads to a hyper-inflammatory state, causing damage to multiple organs. Based on the number of regions in the body that have enlarged lymph nodes, CD can be classified as unicentric or multicentric. This difference is important because unicentric CD and multicentric CD require different treatments. There are four main types of CD:

Unicentric Castleman disease (UCD)

POEMS-associated multicentric Castleman disease (POEMS-MCD)

HHV-8-associated multicentric Castleman disease (HHV-8+MCD)

HHV-8-negative/idiopathic multicentric Castleman disease (iMCD)",https://pubmed.ncbi.nlm.nih.gov/34535010/,Mukherjee 2022,P,"3.7 to 13.3 cases per 1,000,000",,3.7,13.3," 1,000,000 "," 1,233 "," 4,433 "," 2,833 ", 0.9 ,,,
Systemic,Antibody,Strong,Autoimmune,Angiofollicular lymph node hyperplasia,Castleman Disease,S,207036003,,,,,,,,,,,0,0,0, -   ,,,
Systemic,Antibody,Strong,Autoimmune,Angiofollicular lymph node hyperplasia,Castleman's disease,S,207036003,4118225,,https://pubmed.ncbi.nlm.nih.gov/34535010/,Mukherjee 2022,P,"3.7 to 13.3 cases per 1,000,000",,3.7,13.3," 1,000,000 "," 1,233 "," 4,433 "," 2,833 ", 0.9 ,,,
Musculoskeletal,Unconfirmed,Moderate,Unconfirmed,Ankylosing spondylitis,Ankylosing spondylitis,N,9631008,437082,"Ankylosing spondylitis, a form of arthritis, triggers inflammation in the spine's joints and ligaments, potentially extending to peripheral joints such as knees, ankles, and hips. Typically, these spinal joints and ligaments facilitate movement and flexibility. However, in ankylosing spondylitis, inflammation can induce stiffness. In severe instances, this inflammation may prompt the vertebrae to fuse together, resulting in a rigid and immobile spine. Although there's no cure, various treatments can manage symptoms effectively. These may encompass exercises, physical or occupational therapy to enhance mobility and posture, and medications to alleviate pain, reduce inflammation, improve posture, and slow disease progression. With appropriate treatment, individuals with ankylosing spondylitis can lead fulfilling lives.",https://onlinelibrary.wiley.com/doi/full/10.1002/art.21577,Bakland 2005 ,P,"260.0 cases per 100,000",Period prevalence,260,," 100,000 "," 866,580 "," 866,580 "," 866,580 ", 260.0 ,,"Exposure to bacterial antigens is thought to drive AS (see above). However, since evidence for bacterial antigen in inflamed joints of the axial skeleton of AS patients is lacking, the target of the immune response in AS is still unclear.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Musculoskeletal,Unconfirmed,Moderate,Unconfirmed,Ankylosing spondylitis,Axial spondyloarthritis,S,9631008,,,,,,,,,,,0,0,0, -   ,,,
Musculoskeletal,Unconfirmed,Moderate,Unconfirmed,Ankylosing spondylitis,Spondyloarthritis,S,9631008,,,,,,,,,,,0,0,0, -   ,,,
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Goodpasture syndrome,T,50581000,195289,,,,,,,,,,0,0,0, -   ,,,
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Goodpasture disease,S,50581000,4126115,,,,,,,,,,0,0,0, -   ,,,
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane nephritis,S,62853008,4267717,,,,,,,,,,0,0,0, -   ,,,
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane tubulointerstitial nephritis,S,62853008,4267717,,,,,,,,,,0,0,0, -   ,,,
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane disease,U,236506009,4126115,"Anti-glomerular basement membrane disease (anti-GBM disease) is a rare condition characterized by rapidly deteriorating kidney function and lung tissues. It stems from an autoimmune reaction, where the body's immune system erroneously targets and destroys healthy tissues. Individuals afflicted with this ailment produce antibodies that assail a protein known as collagen within the lung's small air sacs and the kidney's glomeruli, which are its filtering units. These antibodies, termed anti-glomerular basement membrane antibodies, can inflict harm upon the basement membrane, leading to kidney impairment. Occasionally, the onset of this disorder is precipitated by a viral respiratory infection or exposure to hydrocarbon solvents. In such instances, the immune system may misinterpret organs or tissues as foreign agents, prompting an attack. Consequently, this flawed immune response results in lung air sac bleeding and inflammation within the kidney's filtering units.",https://pubmed.ncbi.nlm.nih.gov/28937063/,Lingaraj 2017,I,"1.0 to 1.0 cases per 1,000,000", Incidence - cases per year ,1,1," 1,000,000 ", 333 , 333 , 333 , 0.1 ,collagen IV,"Anti-GBM disease is the only kidney disease in which it is definitely known that antibodies develop against a native renal antigen, the α3 helix of collagen IV.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane disease,N,788613004,37312293,"Anti-glomerular basement membrane (anti-GBM) disease is a rare autoimmune illness that mainly affects the kidneys and sometimes the lungs. In this condition, the immune system mistakenly attacks a specific part of the body called the basement membrane, which helps keep the tiny blood vessels in the kidneys and lungs working properly.

People with anti-GBM disease make special proteins called antibodies that wrongly target this membrane, especially in the kidney’s filtering units (glomeruli) and the tiny air sacs in the lungs (alveoli). This can lead to serious kidney damage and, in some cases, bleeding in the lungs.

The disease often develops suddenly and can get worse quickly. Sometimes, it seems to be triggered by things like a bad cold, flu, or exposure to chemicals like gasoline fumes. Doctors treat it by trying to remove the harmful antibodies from the blood and by calming down the immune system.

In addition to ""anti-GBM disease,"" the condition may be referred to as:
•	""Anti-GBM nephritis"" when the disease is primarily or exclusively affecting the kidneys;
•	""Anti-GBM tubulointerstitial nephritis"" when the immune attack also involves the kidney tubules and surrounding tissue, not just the glomeruli (a rare variant);
•	""Goodpasture syndrome"" when both lung bleeding and kidney inflammation are present, regardless of whether anti-GBM antibodies have been detected—for example, in rare cases where the syndrome is clinically present but lab tests are negative.",https://pubmed.ncbi.nlm.nih.gov/28937063/,Lingaraj 2017,I,"1.0 to 1.0 cases per 1,000,000", Incidence - cases per year ,1,1," 1,000,000 ", 333 , 333 , 333 , 0.1 ,collagen IV,"Anti-GBM disease is the only kidney disease in which it is definitely known that antibodies develop against a native renal antigen, the α3 helix of collagen IV.

The Autoimmune Diseases . Elsevier Science. Kindle Edition. ",
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Anti-GBM disease,S,788613004,,,,,,,,,,,0,0,0, -   ,,,
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Goodpasture's disease,S,50581000,,,,,,,,,,,0,0,0, -   ,,,
Kidney,Antibody,Strong,Autoimmune,Anti-glomerular basement membrane disease,Goodpasture's syndrome,S,50581000,,,,,,,,,,,0,0,0, -   ,,,
Vascular system,Antibody,Strong,Autoimmune,Antineutrophil cytoplasmic antibody positive vasculitis,Churg-Strauss syndrome,T,82275008,4305666,,,,,,,,,,0,0,0, -   ,,,
