Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Musculoskeletal,Rheumatoid arthritis,Rheumatoid arthritis,N,,,69896004,80809,"Rheumatoid arthritis (RA) is an autoimmune disease marked by inflammation and damage to joints, surrounding bone, blood vessels, and connective tissue.   This disorder usually affects both sides of the body (i.e. both ankles or both wrists). It can also damage the lungs, heart, eyes, skin, and various other body systems.    

Joints affected by RA are often painful, stiff, and swollen, especially in the morning, and symptoms typically appear in flares followed by remission.  Research has not determined the cause of RA but associations have been found with certain genes, infections, and hormonal changes.  Risk also increases with inhalation of hazardous particles in certain occupations and chronic smoking.  

There is no cure, though treatments to manage symptoms are available.  Prognosis is dependent on disease severity and timely treatment.  Some patients experience mild symptoms with long remissions, while others experience intense symptoms for extended periods of time with few remissions.  The condition is progressive, and patients often worsen over time.  Patients with severe cases may develop disability due to musculoskeletal damage, and some may experience serious cardiac complications.
",
Musculoskeletal,Felty syndrome,Felty syndrome,Felty's syndrome,,,57160007,81097,"Felty syndrome is a rare, potentially serious disorder which is characterized by the presence of three symptoms: rheumatoid arthritis, splenomegaly (enlarged spleen) and neutropenia (a decreased white cell count) which can lead to repeated infections.  It also associated with rheumatoid factor (RF) positive rheumatoid arthritis.    ",
Digestive system,Ulcerative colitis,Ulcerative colitis,N,,,64766004,81893,"Ulcerative colitis (UC) is an inflammatory bowel disease (IBD) that causes long-lasting inflammation and sores, called ulcers, in the large intestine, including the colon.  When the condition affects the entire digestive tract, it is called Crohn's disease (CD).

Both UC and CD are caused by an autoimmune response that reflects the involvement of the innate and adaptive immune systems. The disease mechanism is complex, but appears to start when a normal immune response to a bacterial infection does not stop properly after the infection is fought off. The resulting inflammation leads to the symptoms of both UC and CD.",
Musculoskeletal,Psoriatic arthritis,Psoriasis with arthropathy,U,,,33339001,81931,,
Skin,Lichen planus,Lichen planus,N,,,4776004,132703,"Lichen planus is a recurrent, itchy rash, characterized by shiny reddish-purple spots on the skin and gray-white ones in the mouth. Separate spots may coalesce into rough scaly patches. It is not rare, but it is  

Most papers on lichen planus assume all cases of the disease are autoimmune or do not mention autoimmunity at all.  It may be a symptom of other autoimmune diseases.   ",
Skin,Pyoderma gangrenosum,Pyoderma gangrenosum,N,,,74578003,133283,"Pyoderma gangrenosum is an autoinflammatory skin disease that starts as small red bumps and develops into large open sores on the skin, usually on the legs.
",
Systemic,Systemic sclerosis,Systemic sclerosis,Systemic scleroderma,,,89155008,134442,"Scleroderma is an autoimmune, rheumatic, and chronic disease that affects the body by hardening connective tissue. This disease may also cause issues in the blood vessels, organs, and digestive tract. Scleroderma is characterized as limited or diffuse, referring to the degree of skin involvement, but can both involve any vascular or organ symptoms. These symptoms occur when the body produces too much collagen, which builds up the body’s connective tissues. People who usually get scleroderma are those between the ages of 30 and 50 and tend to be female at birth.",
Glands,Autoimmune thyroiditis,Ord's thyroiditis,Hashimoto thyroiditis,,,21983002,135215,,
Skin,Pemphigus,Pemphigus,N,,,65172003,135338,"Pemphigus includes a group of autoimmune diseases that cause blisters and sores in the mouth, skin, genitals, or any area that has mucous membranes. Normally, the immune system produces antibodies to fight off harmful invaders, such as viruses and bacteria. In pemphigus however, the body produces antibodies that damage cells of the skin, the junctions between them, and mucous membranes. Pemphigus vulgaris is the most common subtype of pemphigus.

Pemphigus can occur at any age, but it is most often seen in people who are middle-aged or older. It tends to be a long-lasting (chronic) condition, and some types can be life-threatening without treatment. Treatment with medication usually controls it.

Pemphigus is different from bullous pemphigoid, a blistering skin condition that affects older adults and may cause death to those in poor health. The main difference is microscopic: in pemphigus the skin cells are not able to stick to each other causing fluid to accumulate between them forming blisters;  bullous pemphigoid affects deeper layers of the skin, and the cells of the top layer of skin, the epidermis, cannot stick to the layer beneath it, the dermis, meaning they come off and fluid accumulates between the dermis and epidermis layer. ",Desmogleins 
Blood,Aplastic anemia,Aplastic anemia,N,,,306058006,137829,"Aplastic anemia is a rare and serious blood disorder that occurs when the body's bone marrow cannot make enough new red blood cells, impacting the body's ability to function normally. Aplastic anemia can progress at varying speeds and range from mild to severe. Currently, there's no known method to prevent it. This condition is caused by damage to stem cells inside the bone marrow, which is the sponge-like tissue within the bones. The immune system attacks and destroys and, as a result, the bone marrow makes fewer red blood cells, white blood cells, and platelets. This bone marrow damage is caused by the immune system attacking and destroying the stem cells within the bone marrow. Other causes of aplastic anemia include some medicine and exposure to environmental toxins or chemicals.",cytotoxic T cells
Glands,Graves' disease,Thyrotoxicosis,S,,,90739004,138387,,Thyrotropin receptor
Skin,Vitiligo,Vitiligo,N,,,56727007,138502,"Vitiligo is a disease that causes the loss of skin color in blotches. The extent and rate of color loss from vitiligo is unpredictable. It can affect the skin on any part of your body. It may also affect hair, the inside of the mouth, and even the eyes.

Normally, the color of hair, skin, and eyes is determined by melanin. Vitiligo occurs when the cells that produce melanin die or stop functioning.",
Skin,Bullous pemphigoid,Bullous pemphigoid,C,,,77090002,139899,,"The autoantibodies in BP sera are predominantly of IgG1 and IgG4, IgE autoantibodies to BP180"
Blood,Pure red cell aplasia,Pure red cell aplasia,N,,,50715003,140065,"Pure red cell aplasia (PRCA) occurs when red blood cells fail to fully develop after they are produced in the bone marrow.  This leads to symptoms of anemia, including tiredness and pale skin.  There are 2 types of PRCA caused by autoimmune processes:  

Acquired primary PRCA typically affects adults and leads to symptoms of anemia.  The trigger for primary PRCA is unknown. Acquired primary PRCA is caused by the immune system attacking developing red blood cells, preventing them from maturing into functional adult cells.  

Acquired secondary PRCA, which is also autoimmune, is similar to acquired primary PRCA but the trigger is an infection, another autoimmune disorder, pregnancy, drugs, or cancer.  PRCA is also one of the important complications in hematopoietic stem cell transplantation when the blood type of the donor and recipient do not match.

Patients may experience symptoms of anemia as well as symptoms of the underlying health condition.  Treatments for both primary and secondary PRCA are available, but outcomes vary, and life expectancy is often markedly reduced.  

A third type of PRCA, Diamond-Blackfan syndrome, is due to genetic mutation and presents during infancy.   It is not autoimmune.",
Skin,Psoriasis,Psoriasis,N,,,9014002,140168,"Psoriasis is a chronic autoimmune disease that causes raised, red, scaly patches to appear on the skin. It affects 1% to 3% of people in Western countries. Psoriasis can appear anywhere on the body, with some cases being mild and others severe enough to significantly impact quality of life. The condition can develop at any age, with earlier onset associated with more severe disease than later onset. Various triggers, including trauma, infections, dry skin, and certain medications, can worsen the condition. Some people with psoriasis may also develop psoriatic arthritis, which causes joint pain and stiffness.

The disease is caused by an overactive immune system, where T cells mistakenly attack the skin, leading to inflammation and rapid skin cell turnover. This process is driven by immune system proteins called cytokines, such as IL-23 and TNF-α, which promote inflammation. Treatments targeting these immune responses, such as biologic medications and immunosuppressants, have been effective in managing symptoms. Despite its autoimmune features, researchers have yet to identify the exact self-antigen that triggers the immune response in psoriasis.

The development of psoriasis involves a complex cycle of immune activation and skin cell dysfunction. Triggers such as physical injury or infections can initiate an immune response that leads to inflammation and the recruitment of immune cells into the skin. These immune cells release cytokines that further stimulate skin cells, causing thickening and scaling. While genetic factors play a role in susceptibility, environmental triggers are also important. Ongoing research aims to better understand the disease mechanisms and develop more targeted therapies to improve treatment outcomes.",
Skin,Erythema nodosum,Erythema nodosum,N,,,32861005,140176,"Erythema nodosum is a condition that causes the fat layer just beneath the skin to become inflamed, forming swollen bumps 1 to 5 cm across.  These bumps most frequently occur on the shins, and sometimes the thighs and forearms as well.  The degree of inflammation may vary by day over a period of 3 to 6 weeks, after which time the bumps finally fade.  The affected area may appear bruised for a period of up to a few months afterward, but most patients experience a full recovery with no scars.  The cause is uncertain but is correlated with an over-reactive immune response following infection, medication, pregnancy, inflammatory conditions, vaccines, and autoimmune or other medical conditions.  Treatments are available to relieve discomfort.  ",
Skin,Dermatitis herpetiformis,Dermatitis herpetiformis,N,,,111196000,140487,"Dermatitis herpetiformis is a chronic, blistering, and intensely itchy rash, It is occurs in people who are suffering from celiac disease who consume gluten.  It is affects about 10 percent of those with celiac disease, and usually affects male adults between 30 and 40 and is more common in people of northern European descent.  DH is rarely found in those of African and Asian ancestry. ",
Skin,Alopecia areata,Alopecia areata,N,,,68225006,141933,"Alopecia areata is a type of hair loss that occurs when your immune system mistakenly attacks hair follicles, which is where hair growth begins. The damage to the follicle is usually not permanent. Experts do not know why the immune system attacks the follicles.",antibodies to tyrosine hydroxylases 
Digestive system,Autoimmune gastritis,Atrophic gastritis,S,,,84568007,192667,,
Digestive system,Celiac disease,Celiac disease,N,,,396331005,194992,"Celiac disease (CD) is an autoimmune disorder that results in damage and loss of function to the small intestine.  Disease onset is generally triggered by the consumption of foods containing gluten.  CD is also shown to be heritable in a number of patients.  Damage results when components of gluten proteins activate immune cells that attack the small projections (villi) lining the small intestine.  There are 6 types of CD:

Classic/Intestinal: This type often is diagnosed by the age of 3.  All ages of pediatric patients often experience digestive problems, stomach pain, diarrhea, and weight loss, whereas adults usually experience constipation and indigestion.

Non-classic/Extraintestinal: Patients with this type normally have nutritional deficiency, which leads to bone loss, lack of growth, tooth problems, and nerve damage.

Subclinical: Individuals with this type have milder symptoms that are improved when gluten is eliminated from the diet.  Diagnosis is often accidental through dietary experimentation or routine blood work.

Refractory: Patients with this type are chronically symptomatic despite eliminating gluten from their diet for a year or more.  Ulcers, lesions, and lymphoma may result in the small intestine.

Seronegative: This type is diagnosed in individuals who show the symptoms of CD but whose blood work tests negative for the condition.

Gluten free diet non-responsive: Individuals with this type show no improvement after following a gluten free diet for at least one year.  Symptoms are consistent with CD but may also include other disorders that produce similar symptoms. 

CD is generally treated by eliminating gluten from the diet.  Patients with an early diagnosis and who show improvement from dietary restrictions can expect to lead full and productive lives.  However, late diagnosis, failure to adhere to a gluten free diet, or lack of improvement from dietary restrictions can lead to complications, including cancer and problems with the spleen.","IgA anti-endomysium antibodies, IgA antibodies to transglutaminse 2 "
Kidney,Anti-glomerular basement membrane disease,Goodpasture syndrome,T,,,50581000,195289,,
Vascular system,Hypersensitivity angiitis,Hypersensitivity angiitis,Leucocytoclastic vasculitis,,,60555002,196431,"Hypersensitivity angiitis, also known as leukocytoclastic vasculitis, is an inflammation of the small blood vessels in your skin. This occurs when neutrophils (a type of immune cell) enter the walls of small blood vessels where they disintegrate, leaving behind fragments. It may be triggered by a variety of different factors; however, approximately half of the cases are idiopathic (i.e. have unknown cause). Some triggers include infections, certain drugs, collagen vascular disease, autoimmune disease, or neoplastic disease.  Drugs and infections are the most common triggers. Symptoms of the skin usually develop about a week after the triggering event. Approximately 90% of patients will have spontaneous healing of skin lesions within weeks to months, and about 10% will have chronic or recurrent disease. Henoch-Schonlein purpura is a subtype of leukoclastic vasculitis that affects children and is usually triggered by an upper respiratory infection.",
Liver,Autoimmune hepatitis,Autoimmune hepatitis,N,,,408335007,200762,"Autoimmune hepatitis is a condition that occurs when your immune system mistakenly targets and attacks your liver cells, leading to long-term chronic liver inflammation, swelling, and damage. It may occur at any age and typically affects women more than men. It is often linked to other autoimmune diseases. The precise cause of autoimmune hepatitis is not fully understood, but it's believed that a combination of genetic and environmental factors plays a role in initiating the disease over time. When diagnosed and treated promptly, autoimmune hepatitis can often be managed with medications that dampen the immune response. In situations where drug treatments don't work or in advanced liver disease cases, a liver transplant might be considered an option.
",autoantibodies against aromatic L-amino acid decarboxylase (AADC) correlated to type 2 autoimmune hepatitis 
Pancreas,Diabetes mellitus type 1,Diabetes mellitus type 1,Type 1 diabetes mellitus,,,46635009,201254,"In diabetes type 1, the cells in the pancreas that make insulin, sometimes referred to as ""pancreatic islet"" or ""pancreatic beta cells"", are killed by T-Cells produced by the immune system. Without insulin, the body cannot process glucose, which builds up in the bloodstream and can cause damage to nerves and blood vessels. Unlike diabetes type 1, diabetes type 2 is caused when cells do not respond normally to insulin. Therefore, the mechanisms of the two main types of diabetes are different, and the treatments are therefore different. Type 1 is treated with insulin injections (which is why it is sometimes called ""insulin dependent diabetes""). Type 2 is usually treated with drugs like metformin, since type 2 is not caused by a failure to produce insulin but rather a failure to properly use it.

It is possible for an individual with type 1 diabetes to develop type 2 diabetes, but that is relatively uncommon. However, it is more common (in the US medical system) is that doctors will inadvertently record a type 1 code in a patient with type 2 diabetes, and vice versa. (In fairness to the doctors, the ICD-9 coding system used before the introduction of ICD-10 in 2015 did not clearly differentiate between the two diseases.)",
Digestive system,Crohn's disease,Crohn's disease,N,,,34000006,201606,"Crohn's Disease (CD) causes inflammation of the digestive tract that may lead to abdominal pain, severe diarrhea, fatigue, weight loss, and malnutrition. When that inflammation is only in the large intestine (including the colon) the disease is called ulcerative colitis (UC).

Both UC and CD are caused by an autoimmune response that reflects the involvement of the innate and adaptive immune systems. The disease mechanism is complex, but appears to start when a normal immune response to a bacterial infection does not stop properly after the infection is fought off. The resulting inflammation leads to the symptoms of both UC and CD.",
Glands,Sjögren's disease,Sicca syndrome,S,,,83901003,254443,"Sicca syndrome is marked by dry mouth and dry eyes. If these symptoms are caused by an autoimmune process, it is called Sjogren's disease. See <a href=""/Disease_Profile/Sj%C3%B6grens-disease.aspx"">Sjögrens disease for more information. ",
Glands,Sjögren's disease,Sjogren's disease,Sjögren's disease,Sjögren's syndrome,Sjögrens disease,83901003,254443,"Sjögren’s disease is a systemic autoimmune disease that is marked by dry mouth and dry eyes. Though traditionally thought to be focused on the moisture-secreting glands of the eyes and mouth, it can affect the lungs, brain, gastrointestinal tract, sinus tract, nerves, joints, blood vessels, and kidneys. Symptoms vary significantly among patients, ranging from dry eyes and dry mouth to fatigue, pain and brain fog. Depression and anxiety are common comorbidities of Sjögren's, and patients’ quality of life is significantly affected. 

Since 2012, Sjögren's disease has been adopted as the official name of the disease by the Sjögren's Foundation and others to reflect the systemic nature of the disease. 

Sjögren's patients are predominantly female, with a female to male ratio of roughly 9 to 1. 

Patients with Sjögren's can be diagnosed through positive antibodies (SSA or SSB, called “seropositive”) or by symptoms and other markers without the presence of antibodies (called ""seronegative""). Seronegative patients report greater difficulty in obtaining a diagnosis, and it is believed that Sjögren's disease is underdiagnosed. Sjögren's disease is also often accompanied by other immune system disorders, such as rheumatoid arthritis and lupus.  Some physicians have used the term “Secondary Sjögren's” to describe cases where Sjögren's is accompanied by another autoimmune disease, as opposed to “Primary Sjögren's,” which refers to cases where Sjögren's is the only autoimmune diagnosis. However, many patients and advocates argue that the term “Secondary” minimizes the impact of Sjogren’s and overlooks the unique challenges of Sjogren’s, which requires its own diagnostic and treatment approach regardless of coexisting conditions.",
Vascular system,Polymyalgia rheumatica,Polymyalgia rheumatica,N,,,65323003,255348,"Polymyalgia rheumatica (PMR) is an autoimmune disease that causes an inflammatory reaction affecting the lining of joints, especially the shoulders and hips, and sometimes the arteries and some major branches of the aorta. It is usually associated with temporal arteritis.",
Systemic,Systemic lupus erythematosus,Systemic lupus erythematosus,C,,,55464009,255891,,
Systemic,Systemic lupus erythematosus,Systemic lupus erythematosus,N,,,55464009,257628,"SLE, the most common type of lupus, is a chronic inflammatory disease that occurs when the body's immune system attacks its own tissues and organs. Inflammation caused by lupus can affect many different body systems — including joints, skin, kidneys, blood cells, brain, heart and lungs.",
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,Granulomatosis with polyangiitis,T,,,195353004,313223,,
Vascular system,Acute febrile mucocutaneous lymph node syndrome,Acute febrile mucocutaneous lymph node syndrome,Kawasaki's disease,,,75053002,314381,"Acute febrile mucocutaneous lymph node syndrome, also known as Kawasaki's Disease, is a rare disorder with sudden onset resulting in fever and inflammation of the blood vessels (vasculitis).  This inflammation restricts blood flow and damages vital organs and tissues, leading to heart disease.  Patients are predominantly children.  

The cause of Kawasaki's Disease is uncertain but is believed to be autoimmune.  Patients who do not suffer damage to the coronary arteries (ex. aneurysms) are expected to heal completely.  Patients who do suffer aneurysms are at greater risk of complications and heart failure, but many can be expected to recover within 2 years.  Relapse is uncommon.  Short-term and long-term treatments and procedures that protect the heart and coronary arteries are available.
",
Blood,Immune thrombocytopenia,Chronic idiopathic thrombocytopenic purpura,T,,,13172003,318397,,Glycoprotein IIb/IIIa
Heart,Postmyocardial infarction syndrome,Postmyocardial infarction syndrome,N,,,66189004,319038,"All of the conditions listed here occur following a heart attack, traumatic injury to the heart or the pericardium, or an operation such as coronary artery bypass grafting (CABG), mitral valve replacement, aortic valve replacement, and pacemaker or stent implantation. 

They are marked by inflammation of the pericardium (the sac that surrounds the heart) accompanied by high fever.  Symptoms occur usually from 3-4 days up to 2-6 weeks post-surgery/injury and on rare occasions symptoms may develop up to a few months post-surgery/injury. Most patients improve with medication and do not suffer chronic illness.  

To date, there is no direct or indirect evidence that post-pericardiotomy syndrome is autoimmune. Kaya et al 2012 provides an excellent review of the science of this entire class of disease. However, it states that “…precise mechanisms on how these autoantibodies perpetuate or even induce an organ specific autoimmune response are not yet fully understood.”  ",
Vascular system,Polyarteritis nodosa,Polyarteritis nodosa,Periarteritis nodosa,,,155441006,320749,"Polyarteritis nodosa is an autoimmune disease that causes damage, weakness, and swelling to arteries. Small and medium-sized arteritis are affected by this disease. The autoimmune response that causes PAN is commonly triggered by drugs, vaccines, and both viral and bacterial infections.  PAN is a multisystem disorder, so any organ in the body can be affected. Typically, the skin, heart, peripheral nervous system, kidneys, joints, eyes, and gastrointestinal system are affected. Common symptoms include feelings of malaise, pain, and skin irritation.  There is no cure for PAN, but there are treatments to help with symptoms and disease progression. Outcomes vary depending on symptoms and disease severity, and relapses are possible.  If left untreated, some complications may be fatal.",
Heart,Myocarditis due to autoimmune disease,Myocarditis due to autoimmune disease,N,,,871640001,321578,"Myocarditis is an inflammation of the heart wall. Myocarditis can affect both the heart's muscle cells and the heart's electrical system, leading to problems with the heart's pumping function and irregular heart rhythms. Myocarditis can also be caused by viral infections or systemic inflammatory conditions such as additional autoimmune disorders. In severe cases of myocarditis, the heart muscle weakens and cannot pump blood effectively to other parts of your body. There are 3 types of myocarditis: acute, chronic, and lymphocytic.

Acute myocarditis is usually caused by a viral infection and can develop suddenly and resolve quickly. Chronic myocarditis takes longer to treat and occurs due to more general inflammatory conditions such as autoimmune diseases. Lymphocytic myocarditis is a rare form of myocarditis and tend to occur after a virus when white blood cells enter and cause inflammation in the heart.",
Nervous System,Acute disseminated encephalomyelitis,Acute disseminated encephalomyelitis,Nonvasculitic autoimmune inflammatory meningoencephalitis,,,83942000,374021,"Acute disseminated encephalomyelitis (ADEM) is caused when inflammation stemming from fever or immunization damages the myelin sheaths of nerves in the brain, spinal cord, and occasionally the optic nerves, leading to abnormal nerve function.  Onset is brief but intense and occurs predominantly in children.  Patients often experience complete recovery within 6 months and do not experience relapses. The risk of developing ADEM depends on several factors, including genetics, exposure to infectious organisms, immunization exposure, and lighter skin pigmentation. ADEM can affect people of all ethnic backgrounds globally. Between 50% to 85% of ADEM cases are linked to a prior infection or vaccination, with many following a viral or bacterial infection. Nonetheless, the specific pathogen causing ADEM is often unknown.",high-affinity autoantibodies to MBP and MOG
Nervous System,Age related macular degeneration,Age related macular degeneration,Z,,,267718000,374028,"Age-related macular degeneration (AMD) leads to the loss of central vision, which impairs activities such as reading, driving, and recognizing faces. Many factors may be involved in the development of AMD, including genetic predisposition and environmental factors like smoking and diet, and some studies have found a link with immune system components such as complement proteins. These proteins, part of the immune system's response to pathogens, can mistakenly target retinal cells, leading to inflammation and damage. Furthermore, individuals with autoimmune diseases like lupus or rheumatoid arthritis may have an increased risk of developing AMD, as their immune systems are already prone to attacking self-tissues. Understanding this autoimmune connection opens new avenues for potential treatments, such as immunomodulatory therapies, which aim to regulate the immune response and protect retinal health.

However, based on the research available at this time, there is no evidence that AMD is an autoimmune disease. ",
Nervous System,Multiple sclerosis,Multiple sclerosis,Disseminated sclerosis,,,24700007,374919,"Multiple Sclerosis (MS) is a central nervous system disease that occurs when the immune system attacks the myelin, which is a protective covering around the nerves. The nerves may then suffer permanent damage. The cause of the abnormal immune system action is unknown, but there seems to be some genetic link. The most common form of MS is relapsing-remitting which occurs when a patient has symptom-free periods, but the patient may develop a progressive form where the symptoms worsen over time. Women are affected twice as often as men. MS varies in severity, with some people losing the ability to walk.",
Nervous System,Multiple sclerosis,Schilders disease,T,,,49692006,376970,,
Nervous System,Neuralgic amyotrophy,Neuralgic amyotrophy,Brachial neuropathy,,,26609002,377271,"Neuralgic amyotrophy, also known as brachial plexus disorder and Parsonage-Turner syndrome, is a neurological disorder described by sudden onset of serious pain (aching, burning or stabbing pains) in the shoulder and arm. Pain may radiate into the neck and into the hands. The legs or diaphragm may be affected in some cases. PTS is usually triggered by an illness, infection, injury, or environmental factor, and the body creates an autoimmune response. Severe pain may last for a few hours or continue for weeks. Less intense pain can continue for a year or more. Pain is usually worse at night. Weakness of the muscles in the affected areas may develop days or weeks after onset of symptoms. Some people experience a single episode, some experience persistent symptoms, and others may experience symptom-free intervals between episodes.",
Nervous System,Neuralgic amyotrophy,Brachial plexus disorder,S,,,3548001,378741,,
Vascular system,Moyamoya disease,Moyamoya disease,N,,,69116000,378774,"Moyamoya disease occurs when the carotid artery, that brings blood to the brain, in the skull is blocked or narrowed. The term ""moyamoya"" is Japanese and means ""puff of smoke"" to describe the appearance of the tiny blood vessels responsible for the blockage. When these blockages occurs, they can cause a ministroke and bleeding in the brain. Moyamoya disease affects brain functions and may cause cognitive and developmental delays or disability.

Although this rare disease most commonly affects children, adults may have this condition as well. The cause for Moyamoya disease is unknown, however, researchers suggest that there may be a genetic factor involved since the disease is most commonly seen in Asian countries.",
Musculoskeletal,Stiff-person syndrome,Stiff-person syndrome,Stiff person syndrome,Stiff man syndrome,,5217008,379008,"Stiff person syndrome (SPS) is a rare, progressive syndrome believed to be autoimmune in nature, though the cause is currently unknown.  SPS is characterized by decreased inhibition of the central nervous system, which leads to greater muscle activity causing flares of severe stiffness and spasms, usually in the muscles of the trunk and limbs.  Triggers include noise, touch, and emotional distress.  SPS may result in disability, fractures due to severe muscle contractions, and abnormal posture.  Comorbidities may include diabetes, thyroiditis, vitiligo, and pernicious anemia.  There is no cure, but symptoms can be managed through treatment.",
Nervous System,Epilepsy,Epilepsy,N,,,84757009,380378,"Epilepsy is the repeated occurrence of seizures, which are short periods of abnormally excessive or synchronous brain activity in the brain marked by uncontrolled shaking and loss of consciousness. Seizures usually last less than two minutes but it takes time to return to normal. Since a number of autoimmune diseases that affect the brain can lead to seizures, epilepsy has been listed in some lists as an autoimmune disease. However, unless the cause of the seizure is an underlying autoimmune disease, epilepsy itself is not an autoimmune disease. ",
Nervous System,Neuromyelitis optica,Neuromyelitis optica,Devic's disease,,,25044007,380995,"Damage caused by the autoimmune system to the myelin (covering surrounding nerves) of the optical nerves and spine, which affects vision and may also result in other neurological symptoms.",Aquaporin-4 
Nervous System,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyradiculoneuropathy,Chronic inflammatory demyelinating polyneuropathy,Chronic inflammatory demyelinating polyneuritis,,128209004,381009,"Chronic inflammatory demyelinating polyneuropathy is a rare neurological disease that inflames the nerve roots and peripheral nerves, damaging the myelin sheath. The destruction of the myelin sheath leads to loss of strength or sensation.",
Digestive system,Autoimmune gastritis,Pernicious anemia,T,,,84027009,432295,,
